time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
103.086518,0.310000,-0.582605,1.174417,nan,21.100294,0.803104,1.174417,-1.508600,1.174417,14.904315,15.486919,0.791930,1,-0.892605
103.286517,0.290000,0.126945,1.054335,nan,9.479209,1.201790,0.706118,-0.870543,0.706118,13.988111,13.861165,3.228581,1,-0.163055
103.482467,0.300000,1.165092,1.047980,nan,11.137126,0.795958,1.047980,0.605243,1.047980,13.783645,12.618552,3.943720,1,0.865092
103.688693,0.340000,1.510224,0.883724,nan,14.646296,0.925832,0.934295,1.699705,0.934295,15.572773,14.062549,0.608813,1,1.170224
103.886770,0.360000,1.517221,0.877007,nan,2.131492,0.089577,0.877007,1.699705,0.877007,13.747736,12.230515,4.230143,1,1.157221
104.094529,0.460000,1.978674,0.887981,nan,5.977913,-1.551273,0.887981,1.699705,0.887981,13.560550,11.581876,3.221148,1,1.518674
104.287000,0.560000,2.012227,0.848177,nan,-0.468126,-1.656291,0.848177,-0.531355,0.848177,13.155714,11.143487,5.268771,1,1.452227
104.487618,0.640000,2.027360,0.895263,nan,5.058217,-3.410834,0.851483,-4.213998,0.851483,13.543680,11.516320,4.825275,1,1.387360
104.684484,0.670000,0.722895,0.809727,nan,0.768366,-2.219360,0.809727,-8.666694,0.809727,14.434078,13.711183,3.237021,1,0.052895
104.881679,0.720000,1.197997,0.798551,nan,-14.217543,-3.243446,0.798551,-3.817452,0.798551,11.278109,10.080112,8.467819,1,0.477997
105.083655,0.740000,1.741907,0.753853,nan,-0.773141,-2.595988,0.753853,-5.700102,0.753853,14.556028,12.814121,2.783156,1,1.001907
105.282960,0.770000,0.492147,0.701556,nan,5.352018,-1.128428,0.087660,-1.534741,0.087660,14.115432,13.623284,3.799008,1,-0.277853
105.481401,0.780000,2.006407,0.774579,nan,-9.339986,-1.496763,0.761876,2.499876,0.761876,12.600875,10.594468,6.738816,1,1.226407
105.712730,0.890000,2.694241,0.769073,nan,-7.454500,-1.241911,0.769073,2.466570,0.769073,13.788928,11.094687,4.493915,1,1.804241
105.882567,0.900000,1.789424,0.888862,nan,-0.071457,-1.725147,0.888862,2.466570,0.888862,13.577323,11.787899,4.670917,1,0.889424
106.086666,0.890000,2.502998,0.907938,nan,-1.410704,-1.934310,0.322420,-1.463795,0.322420,13.910481,11.407484,5.746003,1,1.612998
106.281749,0.890000,2.577347,0.913484,nan,-9.604767,-0.654916,0.913484,-5.053772,0.913484,12.630067,10.052720,6.110094,1,1.687347
106.481380,0.910000,2.678486,0.870597,nan,9.686375,-0.931313,0.870597,-3.784737,0.870597,15.454203,12.775717,1.348854,1,1.768486
106.701931,0.970000,3.405479,0.880510,nan,8.772893,-0.330451,0.880510,-3.784737,0.880510,14.487752,11.082273,3.603988,1,2.435479
106.886657,1.070000,2.322129,0.919190,nan,-0.328177,0.852420,0.919190,-2.396163,0.919190,14.514805,12.192676,3.907483,1,1.252129
107.086649,1.210000,2.176880,0.957444,nan,-6.914833,1.490339,0.957444,-0.545953,0.957444,14.234161,12.057281,4.746788,1,0.966880
107.287524,1.320000,2.039760,0.974897,nan,4.586131,2.213990,0.974897,-1.217798,0.974897,15.985044,13.945284,0.835534,1,0.719760
107.488506,1.340000,3.567056,1.026641,nan,6.208919,0.858246,1.057246,-0.325568,1.057246,14.850044,11.282989,3.178298,1,2.227056
107.712029,1.330000,3.419195,0.986863,nan,-7.818419,1.399465,1.269156,0.705733,1.269156,13.767485,10.348289,4.709689,1,2.089195
107.881720,1.400000,3.180410,1.053216,nan,-8.576921,-1.001224,1.053216,-0.407676,1.053216,13.468798,10.288387,7.267102,1,1.780410
108.081667,1.420000,1.934436,1.152331,nan,0.670493,-0.361515,1.152331,-3.831887,1.152331,14.324985,12.390549,4.362149,1,0.514436
108.281396,1.400000,2.099467,1.170007,nan,-14.664278,0.434442,1.170007,-0.608634,1.170007,12.976249,10.876781,7.750483,1,0.699467
108.482761,1.520000,1.862381,1.158137,nan,10.158647,1.080963,1.158137,-1.034701,1.158137,15.490866,13.628485,1.756691,1,0.342381
108.882685,1.620000,2.304123,1.290190,nan,-1.042492,0.427507,1.290190,2.231454,1.290190,14.616267,12.312143,4.152772,1,0.684123
109.081605,1.490000,3.190809,1.379900,nan,9.694261,0.049435,1.379900,1.482783,1.379900,15.786571,12.595762,1.660236,1,1.700809
109.281443,1.420000,3.559044,1.391204,nan,7.762539,-0.544115,1.391204,-3.911479,1.391204,14.659010,11.099966,3.672710,1,2.139044
109.482792,1.410000,2.344999,1.456946,nan,6.638865,-0.279584,1.456946,-6.873588,1.456946,15.601460,13.256462,1.804658,1,0.934999
109.741959,1.350000,2.135874,1.392282,nan,8.022167,-1.237893,1.401942,-11.773398,1.401942,13.831431,11.695558,4.985720,1,0.785874
109.885162,1.290000,1.399984,1.386308,nan,-16.812883,-0.556259,1.386308,-11.225877,1.386308,12.176704,10.776721,7.593754,1,0.109984
110.082452,1.260000,1.046115,1.299429,nan,-13.260387,0.175967,1.299429,-8.810711,1.299429,12.979993,11.933878,6.887236,1,-0.213885
110.284501,1.250000,1.752316,1.414272,nan,-13.249744,-1.180054,1.414272,-6.891413,1.414272,14.125775,12.373460,4.477963,1,0.502316
110.481490,1.250000,1.766135,1.431243,nan,-1.553675,-0.036204,0.056183,-3.437649,0.056183,13.767250,12.001115,5.256351,1,0.516135
110.681479,1.250000,0.481473,1.457778,nan,-19.017035,0.680127,1.457778,-5.127042,1.457778,11.332044,10.850571,4.311173,1,-0.768527
110.881743,1.270000,-0.489185,1.370854,nan,-25.409756,0.849540,-0.725908,-5.241904,-0.725908,10.178375,10.667561,1.627404,1,-1.759185
111.085644,1.290000,0.468741,1.415990,nan,-7.067607,-0.363336,1.415990,-6.780451,1.415990,11.928305,11.459564,2.000320,1,-0.821259
111.281437,1.280000,0.946765,1.374738,nan,-28.515663,0.498470,-0.969767,-5.861263,-0.969767,8.539046,7.592281,0.639033,1,-0.333235
111.481491,1.330000,0.874131,1.365058,nan,-22.204597,2.198439,0.049708,-3.288377,0.049708,9.477572,8.603441,1.691536,1,-0.455869
111.682321,1.350000,1.151525,1.398445,nan,7.093318,2.312532,1.398445,-1.115939,1.398445,13.113857,11.962332,6.386189,1,-0.198475
111.886510,1.360000,-0.613881,1.460730,nan,13.647685,4.423901,1.460730,-6.852548,1.460730,14.033465,14.647346,4.953783,1,-1.973881
112.086486,1.300000,-0.649350,1.466875,nan,-1.123556,4.477469,1.466875,-7.002134,1.466875,13.088170,13.737520,5.432947,1,-1.949350
112.283504,1.250000,-0.176610,1.536289,nan,21.260128,5.090953,-2.078461,-9.036877,-2.078461,14.760159,14.936769,2.473875,1,-1.426610
112.482497,1.200000,0.567042,1.396910,nan,22.139057,5.770132,1.396910,-7.956743,1.396910,15.548383,14.981340,1.148968,1,-0.632958
112.681390,1.080000,1.121091,1.438184,nan,22.134762,5.038608,1.438184,-10.996873,1.438184,15.075918,13.954826,2.336507,1,0.041091
112.888649,0.970000,0.294580,1.408862,nan,4.663756,1.976978,-2.463033,-9.679736,-2.463033,12.563922,12.269341,5.926038,1,-0.675420
113.082554,0.850000,0.024372,1.333896,nan,-11.036879,1.271941,1.333896,-13.169092,1.333896,12.179927,12.155555,7.180788,1,-0.825628
113.281384,0.700000,0.552288,1.279951,nan,14.715131,1.303159,1.279951,-14.380699,1.279951,14.014299,13.462011,3.154392,1,-0.147712
113.481677,0.590000,1.330712,1.276144,nan,-29.827177,1.529295,1.276144,-14.426437,1.276144,8.016014,6.685302,3.092052,1,0.740712
113.684411,0.420000,0.930807,1.169283,nan,1.399657,2.979781,-3.454825,-11.560268,-3.454825,12.023897,11.093091,5.923327,1,0.510807
113.881730,0.330000,-0.047994,1.108512,nan,-5.455246,1.217877,1.108512,-12.974284,1.108512,11.082767,11.130760,8.104816,1,-0.377994
114.084479,0.300000,1.067114,1.101864,nan,-9.142548,0.271828,1.101864,-13.805528,1.101864,10.983473,9.916359,8.330559,1,0.767114
114.286488,0.250000,1.134670,1.054695,nan,6.394990,0.553565,1.054695,-13.070386,1.054695,11.422829,10.288158,6.579929,1,0.884670
114.484485,0.220000,1.081435,1.107471,nan,6.806351,0.437385,1.107471,-13.293371,1.107471,11.785192,10.703756,5.588225,1,0.861435
114.694502,0.150000,0.905121,1.054212,nan,3.498893,-0.271966,1.054212,-8.280769,1.054212,11.329352,10.424231,6.684703,1,0.755121
