time_s,g5_pitch,ahrs_pitch,accel_pitch,error
116.081464,-6.370000,-2.021423,-6.354201,4.348577
116.281474,-6.400000,-2.911903,-4.763984,3.488097
116.482492,-6.390000,-3.432483,-8.257274,2.957517
116.682433,-6.370000,-3.053269,-12.469278,3.316731
116.886646,-6.340000,-3.316345,-14.642480,3.023655
117.082524,-6.350000,-2.777189,-12.465418,3.572811
117.281389,-6.360000,-2.331073,-12.332525,4.028928
117.482271,-6.350000,-3.519272,-12.773669,2.830728
117.683622,-6.330000,-3.088234,-12.042801,3.241766
117.881390,-6.270000,-3.718490,-10.180682,2.551510
118.088509,-6.200000,-4.534640,-14.181284,1.665359
118.281490,-6.110000,-4.950151,-13.653014,1.159849
118.495507,-6.030000,-5.659902,-11.109625,0.370098
118.683921,-6.030000,-5.442839,-8.613757,0.587162
118.881381,-6.010000,-3.632754,-10.606891,2.377246
119.081409,-5.970000,-3.683808,-10.191315,2.286192
119.282442,-5.950000,-4.483894,-10.710784,1.466106
119.486652,-6.020000,-4.129859,-12.584610,1.890141
119.688643,-6.050000,-6.194042,-9.346576,-0.144042
119.884500,-6.030000,-7.781850,-9.346576,-1.751850
120.084475,-6.020000,-7.807929,-9.346576,-1.787929
120.293717,-6.010000,-7.395441,-9.346576,-1.385440
120.482510,-5.910000,-7.028872,-9.346576,-1.118872
120.682296,-5.890000,-6.931442,-7.039954,-1.041442
120.885655,-5.980000,-5.700323,-7.039136,0.279677
121.081392,-6.070000,-5.971973,-12.150001,0.098027
121.282483,-6.130000,-6.184444,-10.242271,-0.054444
121.483572,-6.150000,-6.458299,-10.882726,-0.308299
121.686486,-6.210000,-6.192812,-6.737997,0.017188
121.901654,-6.150000,-5.668303,-5.234488,0.481697
122.088643,-6.110000,-5.502930,-5.233118,0.607070
122.288849,-6.110000,-5.830040,-5.233118,0.279961
122.482707,-6.100000,-6.299468,-5.233118,-0.199468
122.683529,-6.100000,-4.892328,-10.027776,1.207672
122.887250,-6.200000,-4.665519,-7.548058,1.534481
123.082427,-6.290000,-4.292256,-10.791325,1.997744
123.282496,-6.280000,-3.984204,-8.728625,2.295796
123.483559,-6.230000,-5.160978,-6.449633,1.069022
123.681385,-6.180000,-4.793347,-6.501719,1.386653
123.895514,-6.200000,-4.239409,-4.981152,1.960590
124.085484,-6.220000,-3.011151,-7.022512,3.208848
124.282497,-6.260000,-3.287955,-8.077197,2.972045
124.493507,-6.310000,-3.698553,-8.126290,2.611447
124.694733,-6.330000,-3.777539,-8.698022,2.552461
124.892415,-6.320000,-2.727903,-6.332857,3.592098
125.084799,-6.290000,-3.791142,-6.279450,2.498857
125.282589,-6.290000,-3.957105,-7.562788,2.332895
125.485640,-6.230000,-4.743042,-9.911209,1.486958
125.682328,-6.130000,-4.082968,-11.946073,2.047032
125.909323,-5.970000,-4.314858,-6.934469,1.655141
126.082499,-5.880000,-3.586303,-6.913865,2.293697
126.288511,-5.800000,-3.090346,-6.913865,2.709655
126.481504,-5.740000,-3.552494,-6.266594,2.187506
126.682474,-5.720000,-3.665904,-7.103726,2.054096
126.919982,-5.730000,-3.953430,-7.897454,1.776570
127.081619,-5.810000,-6.899220,-3.714133,-1.089221
127.281382,-5.900000,-7.365706,-4.659986,-1.465706
127.482180,-6.030000,-8.133340,-5.043402,-2.103340
127.689653,-6.110000,-7.221217,-5.108673,-1.111217
127.920983,-6.090000,-7.404907,-6.971107,-1.314907
128.081491,-6.050000,-9.216847,-11.024986,-3.166847
128.281389,-5.980000,-7.807189,-11.597046,-1.827189
128.483859,-5.900000,-7.451892,-10.433788,-1.551892
128.682225,-5.840000,-7.873461,-12.198672,-2.033461
128.967018,-5.800000,-8.862565,-12.667513,-3.062565
129.083484,-5.790000,-8.297587,-16.901707,-2.507587
129.285488,-5.860000,-7.676503,-14.832481,-1.816503
129.481488,-5.860000,-6.324106,-15.254993,-0.464106
129.681389,-5.860000,-5.954122,-15.260028,-0.094122
129.881496,-5.850000,-4.768004,-14.586547,1.081995
130.081385,-5.860000,-5.513264,-10.298171,0.346736
130.282565,-5.850000,-4.952786,-16.388823,0.897213
130.485632,-5.870000,-4.154102,-16.425028,1.715898
130.682161,-5.960000,-4.676585,-12.631465,1.283415
130.883788,-6.000000,-5.354876,-10.034683,0.645124
131.081488,-5.960000,-4.775537,-8.144959,1.184463
131.285510,-5.900000,-4.158201,-6.365198,1.741799
131.481420,-5.870000,-3.154850,-5.396695,2.715150
131.681397,-5.860000,-3.329524,-5.625728,2.530476
131.887645,-5.870000,-2.867509,-3.805895,3.002491
132.084687,-5.870000,-3.514685,-4.567862,2.355315
132.281387,-5.900000,-4.437597,-2.468424,1.462403
132.486486,-6.080000,-4.957400,-4.111380,1.122600
132.682179,-6.290000,-4.222882,-4.091847,2.067118
132.891519,-6.430000,-4.581089,-9.109330,1.848911
133.081392,-6.450000,-5.407493,-9.052747,1.042507
133.281392,-6.420000,-6.417608,-9.028603,0.002392
133.481513,-6.410000,-6.569593,-14.901263,-0.159593
133.681386,-6.380000,-6.697508,-12.582191,-0.317508
133.881483,-6.380000,-7.013225,-12.584794,-0.633225
134.089347,-6.440000,-8.948503,-6.841059,-2.508503
134.282205,-6.510000,-8.597315,-5.523682,-2.087315
134.485710,-6.610000,-8.567990,-5.086497,-1.957990
134.684960,-6.640000,-9.979386,-9.099256,-3.339386
134.893504,-6.620000,-8.823164,-9.100780,-2.203164
135.086207,-6.640000,-7.977535,-9.103361,-1.337535
135.285654,-6.720000,-7.727248,-6.343586,-1.007248
135.482114,-6.770000,-7.860260,-6.342718,-1.090261
135.682160,-6.800000,-6.503115,-10.083931,0.296885
135.882295,-6.830000,-6.144106,-7.748744,0.685894
136.097507,-6.880000,-5.831639,-7.753309,1.048361
136.290504,-6.790000,-5.782804,-6.444020,1.007195
136.481509,-6.670000,-6.656693,-7.080545,0.013308
136.681675,-6.530000,-5.446160,-6.776746,1.083840
136.881752,-6.450000,-5.469983,-6.777286,0.980017
137.086755,-6.440000,-4.588340,-4.478179,1.851660
137.282741,-6.470000,-3.530166,-6.974153,2.939834
137.495517,-6.540000,-2.993249,-5.339478,3.546751
137.686496,-6.620000,-2.685817,-8.775036,3.934182
137.886764,-6.630000,-2.619025,-8.258774,4.010976
138.082194,-6.650000,-5.208282,-10.290305,1.441718
138.281390,-6.630000,-4.288887,-12.902912,2.341114
138.482317,-6.560000,-4.829552,-8.921183,1.730448
138.682317,-6.480000,-4.072161,-8.210855,2.407839
138.882295,-6.420000,-3.607406,-10.030039,2.812594
139.090509,-6.330000,-3.128392,-13.900860,3.201607
139.282510,-6.270000,-2.680071,-13.930197,3.589929
139.483470,-6.280000,-2.034679,-15.780290,4.245321
139.682112,-6.260000,-2.786056,-15.779123,3.473944
139.888715,-6.300000,-3.183042,-9.227479,3.116958
140.097585,-6.410000,-3.965209,-9.236829,2.444791
140.283481,-6.430000,-2.949735,-9.661074,3.480265
140.482492,-6.380000,-3.389949,-5.350447,2.990051
140.685508,-6.340000,-3.827941,-6.081271,2.512059
140.882508,-6.360000,-3.936253,-4.083406,2.423747
141.082193,-6.390000,-3.939029,-4.217505,2.450971
141.282131,-6.460000,-4.636658,-3.361154,1.823342
141.483508,-6.460000,-4.077438,-3.356874,2.382562
141.682149,-6.380000,-3.488357,-3.358582,2.891643
141.885724,-6.280000,-3.556044,-5.760684,2.723957
142.112037,-6.280000,-3.966698,-7.801916,2.313302
142.281389,-6.250000,-3.646324,-7.796207,2.603676
142.482381,-6.210000,-4.116512,-4.734782,2.093488
142.681714,-6.180000,-4.040528,-4.736078,2.139472
142.881405,-6.230000,-4.218816,-3.488309,2.011184
143.108430,-6.290000,-4.333735,-2.088948,1.956264
143.285775,-6.330000,-5.288459,-3.436211,1.041541
143.485648,-6.320000,-5.556567,-6.828734,0.763433
143.690718,-6.350000,-5.963101,-9.113009,0.386899
143.885984,-6.310000,-5.941289,-10.024093,0.368711
144.146144,-6.250000,-6.495379,-11.513142,-0.245379
144.281475,-6.270000,-6.865245,-9.721571,-0.595245
144.496685,-6.320000,-6.309973,-9.297198,0.010027
144.692507,-6.290000,-6.385345,-9.297198,-0.095345
144.882468,-6.200000,-7.211402,-7.579587,-1.011403
145.136387,-6.150000,-6.393713,-7.565649,-0.243712
145.281394,-6.230000,-6.268525,-7.565649,-0.038525
145.481823,-6.180000,-5.251475,-7.565649,0.928525
145.682093,-6.130000,-4.699712,-2.656782,1.430288
145.887162,-6.180000,-5.055232,-2.473267,1.124768
146.137547,-6.210000,-5.355479,-1.325114,0.854521
146.284496,-6.270000,-5.968752,-3.365627,0.301248
146.483771,-6.400000,-5.072414,-3.368428,1.327586
146.681635,-6.410000,-5.668599,-3.371271,0.741401
146.885510,-6.340000,-6.214048,-1.006948,0.125952
147.081693,-6.240000,-5.679177,-4.650593,0.560822
147.282128,-6.110000,-5.262051,-5.025646,0.847950
147.482082,-6.090000,-5.086005,-6.062346,1.003995
147.685763,-6.140000,-4.641584,-6.975246,1.498415
147.885171,-6.180000,-3.512523,-7.474298,2.667477
148.084507,-6.230000,-4.334605,-13.562536,1.895395
148.281401,-6.170000,-4.863893,-8.421965,1.306108
148.481637,-6.090000,-4.362538,-11.802089,1.727462
148.682120,-5.990000,-3.360727,-12.620104,2.629273
148.882176,-5.890000,-2.359627,-11.433680,3.530373
149.082106,-5.840000,-3.123056,-11.443409,2.716944
149.283298,-5.820000,-2.835566,-13.294393,2.984434
149.483523,-5.840000,-2.841423,-16.993248,2.998577
149.690508,-5.810000,-3.543972,-13.824205,2.266027
149.883539,-5.740000,-3.364563,-13.824205,2.375437
150.082484,-5.700000,-3.384244,-18.186899,2.315756
150.281604,-5.720000,-3.572577,-17.657364,2.147423
150.483654,-5.840000,-2.770243,-20.527109,3.069757
150.681702,-6.010000,-3.991794,-18.959669,2.018206
150.881507,-6.120000,-3.514483,-17.209475,2.605517
151.081396,-6.140000,-3.702738,-17.345762,2.437262
151.289502,-6.120000,-4.335212,-16.640650,1.784788
151.485780,-6.110000,-4.401711,-15.891359,1.708290
